Symbol	Description
ADX.AX	Audax Resources Ltd
ADY.AX	Admiralty Resources NL
AEB.AX	Algae.tec Limited
AEE.AX	Aura Energy Ltd
AEEOA.AX	Aura Energy Limited
AEF.AX	Australian Ethical Investments Ltd
AEG.AX	Absolute Equity Performance Fund Limited
AEI.AX	Aeris Technologies Ltd
AEJ.AX	Alinta Energy Group
AER.AX	Aeeris Ltd
AEV.AX	Avenira Limited
AFA.AX	ASF Group Ltd
AFG.AX	Allco Finance Group Ltd
AFI.AX	Australian Foundation Invest Ltd
AFIG.AX	Australian Foundation Investment Company Limited
AFINA.AX	Australian Foundation Investment Company Limited
AFP.AX	Aft Pharmaceuticals Limited
AFR.AX	African Energy Resources (Guernsey) Ltd
AFT.AX	AFT Corporation Ltd
AGD.AX	Austral Gold Ltd
AGE.AX	Alligator Energy Limited
AGF.AX	AMP Capital China Growth Fund
AGG.AX	Anglogold Ashanti Ltd (Sth Afr CUFS)
AGI.AX	Ainsworth Game Technology Ltd
AGIKOA.AX	Ainsworth Game Technology Limited
AGIKOB.AX	Ainsworth Game Technology Limited
AGJ.AX	Agricultural Land Trust
AGL.AX	AGL Energy Limited
AGLHA.AX	Agl Energy Limited.
AGLKOA.AX	Agl Energy Limited.
AGLKOB.AX	Agl Energy Limited.
AGLKOC.AX	Agl Energy Limited.
AGLKOD.AX	Agl Energy Limited.
AGLKOP.AX	Agl Energy Limited.
AGLKOQ.AX	Agl Energy Limited.
AGLKOS.AX	Agl Energy Limited.
AGO.AX	Atlas Gold Ltd
AGOKOQ.AX	Atlas Iron Limited
AGOKOR.AX	Atlas Iron Limited
AGOKOS.AX	Atlas Iron Limited
AGOKOU.AX	Atlas Iron Limited
AGOKOV.AX	Atlas Iron Limited
AGOO.AX	AGOO
AGR.AX	Aguia Resources Limited
AGS.AX	Alliance Resources Ltd
AGX.AX	Agenix Ltd
AGY.AX	Argosy Minerals Inc (CUFS)
AHA.AX	Ag Financial Ltd
AHF.AX	Australian Dairy Farms Group
AHG.AX	Advance Healthcare Group Ltd
AHK.AX	Ark Mines Limited
AHL.AX	Ahalife Holdings Limited
AHN.AX	Athena Resources Ltd
AHQ.AX	Allegiance Coal Limited
AHR.AX	Anchor Resources Ltd
AHX.AX	Apiam Animal Health Limited
AHY.AX	Asaleo Care Limited
AHZ.AX	Allied Healthcare Group Ltd
AIA.AX	Auckland International Airport Ltd
AIB.AX	Aurora Infrastructure Buy Write Income Trust
AIK.AX	Armidale Investment Corporation Limited
AIO.AX	Asciano Group
AIOKOB.AX	Asciano Limited
AIOKOD.AX	Asciano Limited
AIOKOF.AX	Asciano Limited
AIOKOQ.AX	Asciano Limited
AIOKOR.AX	Asciano Limited
AIOKOU.AX	Asciano Limited
AIQ.AX	Alternative Investment Trust
AIR.AX	Astivita Renewables Limited
AIS.AX	Automotive Industrial & Mining Supplies
AIV.AX	Activex Ltd
AIY.AX	Authorised Investment Fund Ltd
AIZ.AX	Air New Zealand Ltd
AJA.AX	Astro Japan Property Trust
AJC.AX	Acacia Coal Limited
AJD.AX	Asia Pacific Data Centre Group
AJJ.AX	Asian Centre For Liver Diseases And Transplantation Limited
AJL.AX	AJ Lucas Group Ltd
AJM.AX	Altura Mining Limited
AJMO.AX	Altura Mining Limited
AJO.AX	Armstrong Jones Office Fund
AJQ.AX	Armour Energy Limited
AJR.AX	Arunta Resources Limited
AJRO.AX	Arunta Resources Limited
AJX.AX	Alexium International Group Limited
AJY.AX	Asaplus Resources Limited
AKF.AX	
AKG.AX	AKG
AKK.AX	Austin Exporation Ltd
AKKO.AX	Austin Exploration Limited
AKM.AX	Aspire Mining Limited
AKMO.AX	Aspire Mining Limited
AKP.AX	Audio Pixels Holdings Limited
AKY.AX	Australian Masters Corporate Bond Fund No 5 Limited
ALA.AX	Applabs Technologies Ltd
ALAO.AX	Applabs Technologies Ltd
ALC.AX	Alcidion Group Limited
ALF.AX	Australian Leaders Fund Ltd
ALI.AX	Argo Global Listed Infrastructure Limited
ALIO.AX	Argo Global Listed Infrastructure Limited
ALK.AX	Alkane Exploration Ltd
ALL.AX	Aristocrat Leisure Ltd
ALLKOA.AX	Aristocrat Leisure Limited
ALLKOB.AX	Aristocrat Leisure Limited
ALLKOD.AX	Aristocrat Leisure Limited
ALLKOG.AX	Aristocrat Leisure Limited
ALLKOP.AX	Aristocrat Leisure Limited
ALLKOS.AX	Aristocrat Leisure Limited
ALLKOU.AX	Aristocrat Leisure Limited
ALLKOV.AX	Aristocrat Leisure Limited
ALQ.AX	Als Limited
ALQKOB.AX	Als Limited
ALQKOC.AX	Als Limited
ALQKOD.AX	Als Limited
ALQKOP.AX	Als Limited
ALQKOQ.AX	Als Limited
ALQKOT.AX	Als Limited
ALR.AX	Aberdeen Leaders Ltd
ALT.AX	Analytica Ltd
ALTO.AX	ALT 31AUG5 0.085
ALTOA.AX	Analytica Limited
ALU.AX	Altium Ltd
ALY.AX	Alchemy Resources Ltd
AMA.AX	Allomak Ltd
AMB.AX	Ambition Group Ltd
AMC.AX	Amcor Ltd
AMCKOC.AX	Amcor Limited
AMCKOE.AX	Amcor Limited
AMCKOP.AX	Amcor Limited
AMCKOQ.AX	Amcor Limited
AMCKOT.AX	Amcor Limited
AMH.AX	AMCIL Ltd
AMI.AX	Aurelia Metals Limited
AML.AX	AMRAD Corporation Ltd
AMN.AX	Agrimin Limited
AMO.AX	Ambertech Ltd
AMP.AX	AMP Ltd
AMPHA.AX	Amp Limited
AMPKOA.AX	Amp Limited
AMPKOC.AX	Amp Limited
AMPKOD.AX	Amp Limited
AMPKOF.AX	Amp Limited
AMPKOG.AX	Amp Limited
AMPKOQ.AX	Amp Limited
AMPKOR.AX	Amp Limited
AMPKOS.AX	Amp Limited
AMPKOV.AX	Amp Limited
AMPLOA.AX	Amp Limited
AMPLOC.AX	Amp Limited
AMPLOD.AX	Amp Limited
AMPLOE.AX	Amp Limited
AMPLOR.AX	Amp Limited
AMPLOU.AX	Amp Limited
AMPLOV.AX	Amp Limited
AMPPA.AX	Amp Limited
AMT.AX	Advanced Surgical Design & Manufacture Ltd
ANB.AX	Aus New Agribusiness & Chem Group Ltd
ANG.AX	Austin Engineering Ltd
ANN.AX	Ansell Ltd
ANNKOC.AX	Ansell Limited
ANNKOE.AX	Ansell Limited
ANNKOP.AX	Ansell Limited
ANNKOS.AX	Ansell Limited
ANO.AX	Advanced Nanotechnology Ltd
ANP.AX	Antisense Therapeutics Ltd
ANPO.AX	ANPO
ANQ.AX	Anaeco Ltd
ANR.AX	Anatara Lifesciences Ltd
ANW.AX	Ausnico Limited
ANZ.AX	Australia & NZ Banking Group Ltd
ANZHA.AX	Australia And New Zealand Banking Group Limited
ANZKOA.AX	Australia And New Zealand Banking Group Limited
ANZKOB.AX	Australia And New Zealand Banking Group Limited
ANZKOD.AX	Australia And New Zealand Banking Group Limited
ANZKOH.AX	Australia And New Zealand Banking Group Limited
ANZKOI.AX	Australia And New Zealand Banking Group Limited
ANZKOJ.AX	Australia And New Zealand Banking Group Limited
ANZKOK.AX	Australia And New Zealand Banking Group Limited
ANZKOL.AX	Australia And New Zealand Banking Group Limited
ANZKOM.AX	Australia And New Zealand Banking Group Limited
ANZKOP.AX	Australia And New Zealand Banking Group Limited
ANZKOQ.AX	Australia And New Zealand Banking Group Limited
ANZKOR.AX	Australia And New Zealand Banking Group Limited
ANZKOS.AX	Australia And New Zealand Banking Group Limited
ANZKOT.AX	Australia And New Zealand Banking Group Limited
ANZKOU.AX	Australia And New Zealand Banking Group Limited
ANZKOV.AX	Australia And New Zealand Banking Group Limited
ANZKOW.AX	Australia And New Zealand Banking Group Limited
ANZKOY.AX	Australia And New Zealand Banking Group Limited
ANZLOA.AX	Australia And New Zealand Banking Group Limited
ANZLOB.AX	Australia And New Zealand Banking Group Limited
ANZLOD.AX	Australia And New Zealand Banking Group Limited
ANZLOE.AX	Australia And New Zealand Banking Group Limited
ANZLOG.AX	Australia And New Zealand Banking Group Limited
ANZLOJ.AX	Australia And New Zealand Banking Group Limited
ANZLOL.AX	Australia And New Zealand Banking Group Limited
ANZLOQ.AX	Australia And New Zealand Banking Group Limited
ANZLOR.AX	Australia And New Zealand Banking Group Limited
ANZLOS.AX	Australia And New Zealand Banking Group Limited
ANZLOT.AX	Australia And New Zealand Banking Group Limited
ANZLOV.AX	Australia And New Zealand Banking Group Limited
ANZLOW.AX	Australia And New Zealand Banking Group Limited
ANZPA.AX	ANZ Bank Perf
ANZPC.AX	Australia And New Zealand Banking Group Limited
ANZPD.AX	Australia And New Zealand Banking Group Limited
ANZPE.AX	Australia And New Zealand Banking Group Limited
ANZPF.AX	Australia And New Zealand Banking Group Limited
ANZQOJ.AX	Australia And New Zealand Banking Group Limited
ANZQOR.AX	Australia And New Zealand Banking Group Limited
ANZQOS.AX	Australia And New Zealand Banking Group Limited
AOA.AX	
AOD.AX	Aurora Sandringham Dividend Income Trust
AOG.AX	Aveo Group
AOH.AX	Altona Mining Limited
AOK.AX	Austex Oil Ltd
AON.AX	Apollo Minerals Ltd
AOP.AX	Apollo Life Sciences Ltd
AOU.AX	Auroch Minerals Nl
AOW.AX	American Patriot Oil & Gas Limited
AOWO.AX	American Patriot Oil & Gas Limited
APA.AX	Australian Pipeline Trust
APAKOA.AX	Apa Group
APAKOC.AX	Apa Group
APAKOR.AX	Apa Group
APAKOS.AX	Apa Group
APD.AX	APN Property Group Ltd
APE.AX	AP Eagers Holdings Ltd
APG.AX	Austpac Gold Resources NL
API.AX	Australian Pharmaceutical Ind Ltd
APN.AX	APN News & Media Ltd
APO.AX	Apn Outdoor Group Limited
APW.AX	Aims Property Securities Fund
APX.AX	Appen Limited
APY.AX	Azonto Petroleum Ltd
APZ.AX	Aspen Group
AQC.AX	Australian Pacific Coal Limited
AQD.AX	AusQuest Ltd
AQDO.AX	AQDO
AQDOA.AX	AusQuest Ltd
AQF.AX	Australian Governance Masters Index Fund Limited
AQG.AX	Alacer Gold Corp
AQHHA.AX	Apt Pipelines Limited.
AQI.AX	Alicanto Minerals Limited
AQJ.AX	Aus Asia Minerals Limited
AQP.AX	Aquarius Platinum Ltd (Bermuda)
AQPKOC.AX	Aquarius Platinum Limited
AQQ.AX	Aphrodite Gold Limited
AQS.AX	Aquis Entertainment Limited
AQU.AX	Aquaint Capital Holdings Limited
AQX.AX	Alice Queen Limited
AQZ.AX	Alliance Aviation Services Limited
AR1.AX	Arrowhead Resources Limited
ARA.AX	Ariadne Australia Ltd
ARB.AX	Arb Corporation Limited.
ARC.AX	Amalg Resources Nl
ARCO.AX	Australian Rural Capital Limited
ARD.AX	Argent Minerials Lts
ARDO.AX	Argent Minerials Lts
ARE.AX	Argonaut Resources NL
AREO.AX	AREO
ARF.AX	Arena Reit
ARG.AX	Argo Investments Ltd
ARH.AX	Australasian Resources Ltd
ARI.AX	Arrium Limited
ARIKOD.AX	Arrium Limited
ARIKOP.AX	Arrium Limited
ARIKOT.AX	Arrium Limited
ARIKOW.AX	Arrium Limited
ARM.AX	Aurora Minerals Ltd
ARO.AX	Astro Diamond Mines NL
ARS.AX	Alt Resources Limited
ARU.AX	Arafura Resources NL
ARV.AX	Artemis Resources Ltd
ARVOA.AX	Artemis Resources Limited
ARVOB.AX	Artemis Resources Limited
ARW.AX	Australian Renewable Fuels Ltd
ARX.AX	Austindo Resources Corporation NL
ASB.AX	Austal Ltd
ASH.AX	Ashley Services Group Limited
ASL.AX	Ausdrill Ltd
ASN.AX	Anson Resources Limited
ASP.AX	Aspermont Ltd
AST.AX	Ausnet Services
ASW.AX	Advanced Share Registry Ltd
ASX.AX	Australian Stock Exchange Ltd
ASXKOP.AX	Asx Limited
ASXKOQ.AX	Asx Limited
ASXKOR.AX	Asx Limited
ASXKOT.AX	Asx Limited
ASZ.AX	ASG Group Ltd
ATC.AX	Advantage Telecommunications Ltd
ATI.AX	Atlantic Ltd
ATM.AX	Aneka Tambang (Persero) Tbk (Indo)
ATP.AX	Atlas Pacific Ltd
ATR.AX	Astron Ltd
ATU.AX	Atrum Coal Nl
AUB.AX	Austbrokers Holdings Ltd
AUC.AX	Ausgold Limited
AUF.AX	Asian Masters Fund Ltd
AUI.AX	Australian United Investment Ltd
AUIN.AX	Australian United Investment Company Limited
AUK.AX	Augur Resources Ltd
AUP.AX	Aurora Property Income Trust
AUQ.AX	Alara Uranium Ltd
AUQO.AX	Alara Uranium Ltd
AUST.AX	AUST
AUZ.AX	Australian Mines Ltd
AVB.AX	Avanco Resources Ltd
AVD.AX	Advance Energy Ltd
AVDOB.AX	Antilles Oil And Gas Nl
AVG.AX	Australian Vintage Ltd t/over by SWS
AVH.AX	Avita Medical Ltd
AVI.AX	Avalon Minerials Ltd
AVJ.AX	AV Jennings Homes Ltd
AVL.AX	Anvil Mining Nl
AVN.AX	Avon Resources Ltd
AVQ.AX	Axiom Mining Ltd
AVX.AX	Avexa Ltd
AVZ.AX	Avonlea Minerals Ltd
AWC.AX	Alumina Ltd
AWCKOA.AX	Alumina Limited
AWCKOB.AX	Alumina Limited
AWCKOH.AX	Alumina Limited
AWCKOI.AX	Alumina Limited
AWCKOL.AX	Alumina Limited
AWCKOP.AX	Alumina Limited
AWCKOR.AX	Alumina Limited
AWCKOT.AX	Alumina Limited
AWCKOV.AX	Alumina Limited
AWCKOX.AX	Alumina Limited
AWE.AX	Australian Worldwide Exploration Ltd
AWEKOA.AX	Awe Limited
AWEKOC.AX	Awe Limited
AWEKOP.AX	Awe Limited
AWEKOQ.AX	Awe Limited
AWEKOR.AX	Awe Limited
AWEKOS.AX	Awe Limited
AWI.AX	Australasian Wealth Investments Limited.
AWN.AX	Arowana International Limited
AWQ.AX	Arowana Australasian Value Opportunities Fund Limited
AWQO.AX	Arowana Australasian Value Opportunities Fund Limited
AWV.AX	Anova Metals Limited
AWW.AX	Antares Mining Limited
AWY.AX	Australian Whisky Holdings Limited
AXE.AX	Archer Exploration Ltd
AXI.AX	Axiom Properties Ltd
AXP.AX	Airxpanders Inc
AXT.AX	Argo Exploration Ltd
AXZ.AX	AMEX Resources Ltd
AYA.AX	Attila Resources Limited
AYB.AX	Australian Natural Proteins Limited
AYC.AX	A1 Consolidated Gold Limited
AYCO.AX	A1 Consolidated Gold Limited
AYD.AX	Australian Masters Yield Fund No 1 Limited
AYF.AX	Australian Enhanced Income Fund
AYG.AX	AYG
AYH.AX	Australian Masters Yield Fund No 2 Limited
AYI.AX	A1 Investments & Resources Ltd
AYJ.AX	Australian Masters Yield Fund No 3 Limited
AYK.AX	Australian Masters Yield Fund No 4 Limited
AYM.AX	Altius Mining Limited
AYR.AX	Alloy Resources Ltd
AYS.AX	Amaysim Australia Limited
AYUHA.AX	Australian Unity Limited
AYUHB.AX	Australian Unity Limited
AYZ.AX	Australian Masters Yield Fund No 5 Limited
AZJ.AX	Aurizon Holdings Limited
AZJKOD.AX	Aurizon Holdings Limited
AZJKOG.AX	Aurizon Holdings Limited
AZJKOQ.AX	Aurizon Holdings Limited
AZJKOR.AX	Aurizon Holdings Limited
AZJKOT.AX	Aurizon Holdings Limited
AZJKOZ.AX	Aurizon Holdings Limited
AZM.AX	Azumah Resources Ltd
AZS.AX	Azure Minerals Ltd
AZV.AX	Azure Healthcare Limited
AZY.AX	Antipa Minerals Limited
AZYO.AX	Antipa Minerals Limited
AZZ.AX	Antares Energy Ltd
AZZG.AX	Antares Energy Ltd
BAF.AX	Blue Sky Alternatives Access Fund Limited
BAL.AX	Bellamys Australia Limited
BAP.AX	Burson Group Limited
BAR.AX	Barra Resources ltd
BAS.AX	Bass Strait Oil Company Ltd
BAU.AX	Bauxite Resources Ltd
BBG.AX	Billabong International Ltd
BBL.AX	Brisbane Broncos Ltd
BBN.AX	Baby Bunting Group Limited
BBOZ.AX	BBOZ
BBR.AX	Bora Bora Resources Limited
BBX.AX	BBX Holdings Ltd
BCD.AX	Beaconsfield Gold NL
BCI.AX	BC Iron Ltd
BCK.AX	Brockman Mining Limited
BCN.AX	Beacon Minerals Ltd
BCT.AX	Bluechiip Limited
BDI.AX	Blina Diamonds NL
BDR.AX	Beadell Resources Ltd
BDRKOL.AX	Beadell Resources Limited
BEAR.AX	BEAR
BEL.AX	Bentley International Ltd
BEN.AX	Bendigo Bank Ltd
BENHB.AX	Bendigo And Adelaide Bank Limited
BENKOA.AX	Bendigo And Adelaide Bank Limited
BENKOG.AX	Bendigo And Adelaide Bank Limited
BENKOP.AX	Bendigo And Adelaide Bank Limited
BENKOQ.AX	Bendigo And Adelaide Bank Limited
BENKOT.AX	Bendigo And Adelaide Bank Limited
BENKOU.AX	Bendigo And Adelaide Bank Limited
BENPD.AX	Bendigo And Adelaide Bank Limited
BENPE.AX	Bendigo And Adelaide Bank Limited
BENPF.AX	Bendigo And Adelaide Bank Limited
BFC.AX	Beston Global Food Company Limited
BFG.AX	Bell Financial Group Ltd
BGA.AX	Bega Cheese Limited
BGC.AX	Bridge Global Capital Management Limited
BGG.AX	Blackgold International Holdings Limited
BGGO.AX	Blackgold International Holdings Limited
BGH.AX	Bligh Resources Limited
BGL.AX	Bigair Group Ltd
BGR.AX	Bronson Group Limited
BGS.AX	Birimian Gold Limited
BHP.AX	BHP Billiton Ltd
BHPKOA.AX	Bhp Billiton Limited
BHPKOG.AX	Bhp Billiton Limited
BHPKOH.AX	Bhp Billiton Limited
BHPKOJ.AX	Bhp Billiton Limited
BHPKOK.AX	Bhp Billiton Limited
BHPKOM.AX	Bhp Billiton Limited
BHPKOP.AX	Bhp Billiton Limited
BHPKOS.AX	Bhp Billiton Limited
BHPKOT.AX	Bhp Billiton Limited
BHPKOV.AX	Bhp Billiton Limited
BHPKOW.AX	Bhp Billiton Limited
BHPKOX.AX	Bhp Billiton Limited
BHPKOY.AX	Bhp Billiton Limited
BHPLOB.AX	Bhp Billiton Limited
BHPLOC.AX	Bhp Billiton Limited
BHPLOE.AX	Bhp Billiton Limited
BHPLOK.AX	Bhp Billiton Limited
BHPLON.AX	Bhp Billiton Limited
BHPLOP.AX	Bhp Billiton Limited
BHPLOR.AX	Bhp Billiton Limited
BHPLOS.AX	Bhp Billiton Limited
BHPLOT.AX	Bhp Billiton Limited
BHPLOU.AX	Bhp Billiton Limited
BHPLOV.AX	Bhp Billiton Limited
BHPLOX.AX	Bhp Billiton Limited
BHPLOZ.AX	Bhp Billiton Limited
BHPMOA.AX	Bhp Billiton Limited
BHPMOB.AX	Bhp Billiton Limited
BHPMOP.AX	Bhp Billiton Limited
BHPQOP.AX	Bhp Billiton Limited
BHPQOT.AX	Bhp Billiton Limited
BHPQOV.AX	Bhp Billiton Limited
BHPQOY.AX	Bhp Billiton Limited
BIG.AX	BIgShop.com.au
BIQ.AX	Buildingiq, Inc
BIS.AX	
BIT.AX	Biotron Ltd
BITO.AX	Biotron Limited
BKI.AX	Brickworks Investment Company Ltd
BKL.AX	Blackmores Laboratories Ltd
BKLKOA.AX	Blackmores Limited
BKLKOC.AX	Blackmores Limited
BKLKOD.AX	Blackmores Limited
BKLKOP.AX	Blackmores Limited
BKLKOQ.AX	Blackmores Limited
BKM.AX	BKM Management Ltd
BKN.AX	Bradken Ltd
BKNKOV.AX	Bradken Limited
BKP.AX	Baraka Petroleum Ltd
BKT.AX	Black Rock Mining Limited
BKTOC.AX	Black Rock Mining Limited
BKTOD.AX	Black Rock Mining Limited
BKW.AX	Brickworks Ltd
BKY.AX	Berkeley Resources Ltd
BLA.AX	Blue Sky Alternative Investments Limited
BLD.AX	Boral Ltd
BLDKOA.AX	Boral Limited.
BLDKOC.AX	Boral Limited.
BLDKOP.AX	Boral Limited.
BLDKOQ.AX	Boral Limited.
BLDKOU.AX	Boral Limited.
BLG.AX	Blugass Ltd
BLK.AX	Blackham Resources Ltd
BLT.AX	Benitec Ltd
BLX.AX	Beacon Lighting Group Limited
BLY.AX	Boart Longyear Ltd
BLZ.AX	Blaze International Ltd
BMG.AX	Brazilian Metals Group Limited.
BMH.AX	Baumart Holdings Limited
BML.AX	Bank of Melbourne merger WBC
BMLOB.AX	Botswana Metals Limited
BMN.AX	Bannerman Resources Ltd
BMZ.AX	Black Mountain Resources Limited
BND.AX	Bandanna Energy Ltd
BNE.AX	Bone Medical Ltd
BNO.AX	Bionomics Ltd
BNR.AX	Bulletin Resources Limited
BNV.AX	Brand New Vintage Ltd
BOA.AX	Boadicea Resources Limited
BOC.AX	Bougainville Copper Ltd (PNG)
BOE.AX	Boss Energy Ltd
BOK.AX	Black Oak Minerals Limited
BOL.AX	Boom Logistics Ltd
BOP.AX	Birch And Prestige Investment Group Limited
BOQ.AX	Bank of Queensland Ltd
BOQKOB.AX	Bank Of Queensland Limited.
BOQKOC.AX	Bank Of Queensland Limited.
BOQKOD.AX	Bank Of Queensland Limited.
BOQKOP.AX	Bank Of Queensland Limited.
BOQKOR.AX	Bank Of Queensland Limited.
BOQKOV.AX	Bank Of Queensland Limited.
BOQPD.AX	Bank Of Queensland Limited.
BPA.AX	Brookfield Prime Property Fund
BPF.AX	Bulletproof Group Limited
BPG.AX	Byte Power Group Ltd
BPH.AX	BioPharmica Ltd
BPL.AX	Broken Hill Prospecting Limited
BPLO.AX	Broken Hill Prospecting Limited
BPS.AX	Bps Technology Limited
BPT.AX	Beach Petroleum Ltd
BPTKOB.AX	Beach Energy Limited
BPTKOC.AX	Beach Energy Limited
BPTKOD.AX	Beach Energy Limited
BPTKOR.AX	Beach Energy Limited
BPTKOS.AX	Beach Energy Limited
BRB.AX	Breaker Resources Nl
BRBCA.AX	Breaker Resources Nl
BRC.AX	Brain Resource Company Ltd (The)
BRD.AX	Black Ridge Mining Ltd
BRG.AX	Breville Group Ltd
BRK.AX	BreakFree Ltd
BRKO.AX	Brookside Energy Limited
BRL.AX	Brl Hardy
BRN.AX	Brainchip Holdings Ltd
BRO.AX	BroadTel Communications Ltd
BRS.AX	Bristile Ltd
BRSKOQ.AX	Broadspectrum Limited
BRSQOA.AX	Broadspectrum Limited
BRU.AX	Buru Energy Ltd
BRUKOO.AX	Buru Energy Limited
BSA.AX	Broadcast Services Australia Ltd
BSE.AX	BSE
BSL.AX	BlueScope Steel Ltd
BSLKOA.AX	Bluescope Steel Limited
BSLKOB.AX	Bluescope Steel Limited
BSLKOE.AX	Bluescope Steel Limited
BSLKOP.AX	Bluescope Steel Limited
BSLKOQ.AX	Bluescope Steel Limited
BSLKOR.AX	Bluescope Steel Limited
BSM.AX	Bass Metals Ltd
BSN.AX	Bisan Ltd
BSNO.AX	Bisan Limited
BSP.AX	Black Star Petroleum Limited
BSPO.AX	Black Star Petroleum Limited
BSR.AX	Bassari Resources Ltd
BST.AX	Barrack St Investments Limited
BSTO.AX	Barrack St Investments Limited
BTC.AX	BioTech Capital Ltd
BTI.AX	Bailador Technology Investments Limited
BTIO.AX	Bailador Technology Investments Limited
BTN.AX	Brighton Mining Group Limited
BTT.AX	BT Investment Management Ltd
BUD.AX	Buddy Platform Ltd
BUG.AX	Buderim Ginger Ltd
BUL.AX	Blue Energy Ltd
BUR.AX	Burleson Energy Ltd
BUX.AX	Buxton Resources Ltd
BUY.AX	Bounty Oil & Gas NL
BWF.AX	Blackwall Property Funds Limited
BWP.AX	Bunnings Warehouse Property Trust
BWR.AX	Blackwall Property Trust
BWX.AX	Bwx Limited
BXB.AX	Brambles Ltd
BXBKOD.AX	Brambles Limited
BXBKOE.AX	Brambles Limited
BXBKOF.AX	Brambles Limited
BXBKOR.AX	Brambles Limited
BXBKOS.AX	Brambles Limited
BXBKOU.AX	Brambles Limited
BXN.AX	Bioxyne Limited
BYE.AX	Byron Energy Limited
BYI.AX	Beyond International Ltd
BYL.AX	Brierty Ltd
BYR.AX	Burey Gold Ltd
BYRO.AX	BYRO
BZL.AX	Braziron Limited
CAA.AX	Capral Aluminium Ltd
CAB.AX	Cabcharge Australia Ltd
CABKOA.AX	Cabcharge Australia Limited
CABKOB.AX	Cabcharge Australia Limited
CAD.AX	Caeneus Minerals Ltd
CAE.AX	Cannindah Resources Limited
CAF.AX	Centrepoint Alliance Ltd
CAJ.AX	Capitol Health Ltd
CAM.AX	Clime Capital Ltd
CAMPA.AX	Clime Capital Ltd
CAP.AX	Carpentaria Exploration Ltd
CAQ.AX	Cell Aquaculture Ltd
CAR.AX	Carsales.com Limited.
CARKOA.AX	Carsales.com Limited.
CARKOC.AX	Carsales.com Limited.
CARKOD.AX	Carsales.com Limited.
CARKOP.AX	Carsales.com Limited.
CARKOT.AX	Carsales.com Limited.
CAS.AX	Crusader Holdings NL
CAT.AX	Catuity Inc (USA)
CAV.AX	Carnavale Resources Ltd
CAY.AX	Canyon Resources Ltd
CAYO.AX	Canyon Resources Limited
CAYOA.AX	Canyon Resources Limited
CAZ.AX	Cazaly Resources Ltd
CBA.AX	Commonwealth Bank Ltd
CBAKOA.AX	Commonwealth Bank Of Australia.
CBAKOC.AX	Commonwealth Bank Of Australia.
CBAKOE.AX	Commonwealth Bank Of Australia.
CBAKOF.AX	Commonwealth Bank Of Australia.
CBAKOG.AX	Commonwealth Bank Of Australia.
CBAKOH.AX	Commonwealth Bank Of Australia.
CBAKOI.AX	Commonwealth Bank Of Australia.
CBAKOM.AX	Commonwealth Bank Of Australia.
